id,"What is your profession/main occupation?","What is your age?",Gender,"If in-store music is played, I would prefer the music to be human-made rather than AI-generated","I prefer in-store music rather than a silent shopping environment","I prefer highly personalized in-store music","When facing a choice between maximum privacy and minimum personalization and minimum privacy and maximum personalization, what would you prefer?","I prefer not to share data about myself or my musical taste to companies","Submitted At"
aevi7kwyoc,Student,21,Male,"I strongly prefer human-made","I prefer music","I am neutral","moderate privacy, moderate personalization","I strongly agree","Nov 06, 2024 03:30 pm"
1vyih1icof,Researcher,46,Female,"I am neutral","I slightly prefer silence","I am neutral","moderate privacy, moderate personalization","I strongly disagree","Nov 06, 2024 03:29 pm"
qr02k9yi00,Student,21,Female,"I strongly prefer human-made","I slightly prefer music","I am neutral","moderate privacy, moderate personalization","I slightly agree","Nov 06, 2024 03:26 pm"
689hc3eirj,Economist,39,Male,"I prefer human-made","I prefer music","Strongly agree","very high privacy, very low personalization","I strongly agree","Nov 06, 2024 03:25 pm"
in6e5zeavl,"Student + part time work",24,Female,"I am neutral","I prefer music",Agree,"moderate privacy, moderate personalization","I strongly disagree","Nov 06, 2024 03:25 pm"
xqzddqp0gi,Student,20,Male,"I am neutral","I prefer music","Slightly agree","very high privacy, very low personalization","I disagree","Nov 06, 2024 03:24 pm"
sviil6zpyl,Student,21,Male,"I slightly prefer human-made","I prefer music","I am neutral","high privacy, low personalization","I slightly disagree","Nov 06, 2024 03:24 pm"
reqvki6dp4,Student,23,Female,"I strongly prefer human-made","I strongly prefer music","Slightly agree","moderate privacy, moderate personalization","I agree","Nov 06, 2024 03:24 pm"
kpuu82kx9u,"Researcher ",39,Male,"I strongly prefer human-made","I slightly prefer music","Slightly agree","moderate privacy, moderate personalization","I slightly agree","Nov 06, 2024 02:49 pm"
6oxze1ix3w,Researcher,30,Male,"I am neutral","I prefer music","I am neutral","maximum privacy, minimum personalization","I slightly disagree","Nov 06, 2024 02:34 pm"
fqwevl4m9w,"Professor ",52,Male,"I prefer human-made","I prefer music","I am neutral","moderate privacy, moderate personalization","I am neutral","Nov 06, 2024 02:27 pm"
hzrqyflfd7,Professor,48,Male,"I prefer human-made","I slightly prefer music","I am neutral","very high privacy, very low personalization","I strongly agree","Nov 06, 2024 02:26 pm"
lzr0p6fge3,"Wearhouse worker/student ",26,Male,"I am neutral","I strongly prefer music","I disagree","very high privacy, very low personalization","I strongly agree","Nov 06, 2024 02:01 pm"
o6yyvhhxeh,Student,22,Female,"I strongly prefer human-made","I strongly prefer music","Strongly agree","high privacy, low personalization","I strongly agree","Nov 06, 2024 01:50 pm"
5jyeqyun5o,Academic,47,Male,"I am neutral","I prefer music",Agree,"moderate privacy, moderate personalization","I slightly disagree","Nov 06, 2024 01:21 pm"
eikasrqwfm,"Strategic communications student ",22,Male,"I strongly prefer human-made","I strongly prefer music","Strongly agree","low privacy, high personalization","I disagree","Nov 06, 2024 11:29 am"
c3iodvfvdo,Entreprenör,32,Female,"I slightly prefer human-made","I prefer music",Agree,"moderate privacy, moderate personalization","I slightly disagree","Nov 06, 2024 11:13 am"
bvdgz4etl1,"PhD student ",48,Male,"I am neutral","I strongly prefer music",Agree,"moderate privacy, moderate personalization","I agree","Nov 06, 2024 10:58 am"
yovxkrrlir,Researcher,31,Male,"I strongly prefer human-made","I slightly prefer music","I am neutral","very high privacy, very low personalization","I strongly agree","Nov 06, 2024 10:57 am"
qxcwgi71yr,"PhD student",28,Female,"I am neutral","I prefer music","Slightly agree","very high privacy, very low personalization","I am neutral","Nov 06, 2024 10:57 am"
fi3trcsuvu,"Researcher (EF)",35,Female,"I strongly prefer human-made","I slightly prefer silence","I disagree","maximum privacy, minimum personalization","I disagree","Nov 06, 2024 09:05 am"
xerby9dknu,Skojare,"Skit i det du",Male,"I strongly prefer AI-made","I strongly prefer silence","Strongly agree","maximum privacy, minimum personalization","I strongly agree","Nov 05, 2024 11:32 pm"
3cshmhe4pk,"Researcher, music",51,Male,"I prefer human-made","I slightly prefer music","I disagree","very high privacy, very low personalization","I disagree","Nov 05, 2024 10:28 pm"
